Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation
Nine Pieces 4 Melodia,Reger,Op129,1913,,Organ,,,OtherSolo,,,,Germany,Bb major,
Nine Pieces 5 Capriccio,Reger,Op129,1913,,Organ,,,OtherSolo,,,,Germany,G minor,
Flute Quartet Movement 1,Reicha,Op12,1790,1805,Flute,,,MiscWindEnsemble,,,,France,D major,
Six Trios Allegretto,Reicha,Op82,1912,,Horn,,,Trio,,,,France,F major,
Six Trios Allegro,Reicha,Op82,1912,,Horn,,,Trio,,,,France,F major,
Six Trios Allegro Scherzando,Reicha,Op82,1912,,Horn,,,Trio,,,,France,F major,
Six Trios Lento,Reicha,Op82,1912,,Horn,,,Trio,,,,France,F major,
Six Trios Lento Sostenuto,Reicha,Op82,1912,,Horn,,,Trio,,,,France,F minor,
Six Trios Menuetto Grazioso,Reicha,Op82,1912,,Horn,,,Trio,,,,France,F major,
Trente-six fugues pour le piano-forte,Reicha,No17,1803,,Piano,,,Fugue,,,,France,A major,
Trente-six fugues pour le piano-forte,Reicha,No25,1803,,Piano,,,Fugue,,,,France,Bb major,Ab major
Trente-six fugues pour le piano-forte,Reicha,No28,1803,,Piano,,,Fugue,,,,France,A major,
Concerto for Piano in C 1 Allegro,Reinecke,Op144No3,1878,,Piano,Orchestra,,Concerto,,,,Germany,C major,
Concerto for Piano in C 2 Largo,Reinecke,Op144No3,1878,,Piano,Orchestra,,Concerto,,,,Germany,Ab major,
Concerto for Piano in C 3 Finale,Reinecke,Op144No3,1878,,Piano,Orchestra,,Concerto,,,,Germany,C major,
Elegy for Piano Alone,Reinecke,,1844,1864,Piano,,,OtherSolo,,,,Germany,E minor,
Flute Sonata Undine 1 Allegro,Reinecke,Op167,1882,,Flute,Orchestra,,Concerto,,,,Germany,E minor,
Flute Sonata Undine 2 Intermezzo,Reinecke,Op167,1882,,Flute,Orchestra,,Concerto,,,,Germany,B minor,
Flute Sonata Undine 3 Andante Tranquillo,Reinecke,Op167,1882,,Flute,Orchestra,,Concerto,,,,Germany,G major,
Flute Sonata Undine 4 Finale,Reinecke,Op167,1882,,Flute,Orchestra,,Concerto,,,,Germany,E minor,E major
"Antique Dances and Arias Suite-Anonymous, Passo mezzo e mascherada",Respighi,,1917,,Orchestra,,,,OrchestralSuite,,,Germany,D major,
"Antique Dances and Arias Suite-Anonymous, Villanella No1",Respighi,,1917,,Orchestra,,,,OrchestralSuite,,,Germany,B minor,
"Antique Dances and Arias Suite-Simone Molinaro, Balletto detto Il Conte Orlando No1",Respighi,No1,1917,,Orchestra,,,,OrchestralSuite,,,Germany,D major,
"Antique Dances and Arias Suite-Vincenzo Galilei, Gagliarda No1",Respighi,,1917,,Orchestra,,,,OrchestralSuite,,,Germany,D major,
"The 94th Psalm, Sonata for Organ in C 4 Allegro",Reubke,,1854,1874,Organ,,,OtherSolo,,,,Germany,C minor,
Requiem in D- 1 Requiem,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,D minor,
Requiem in D- 2 Granduale,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,G major,
Requiem in D- 3 Ofertorium,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,D minor,
Requiem in D- 4 Hostias,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,Bb major,D minor
Requiem in D- 5 Sanctus,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,D major,
Requiem in D- 6 Benedictus,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,Bb major,
Requiem in D- 7 Agnus Dei,Rheinberger,,1859,1879,Voice,,,OtherTextedSacred,,,,Germany,D minor,
Concerto in B minor,Rieding,,1909,,Violin,Piano,,Concerto,,,,Germany,B minor,
Sonata for Flute and Piano 1 Allegro Moderato,Rietz,Op91,1832,1852,Flute,Piano,,ChamberSonata,,FirstMovement,,Germany,G minor,
Sonata for Flute and Piano 2 Andante Poco Sostenuto,Rietz,Op91,1832,1852,Flute,Piano,,ChamberSonata,,SlowMovement,,Germany,Eb major,
Sonata for Flute and Piano 3 Allegretto,Rietz,Op91,1832,1852,Flute,Piano,,ChamberSonata,,FastMovement,,Germany,G minor,
Sonata for Flute and Piano 4 Allegro Molto,Rietz,Op91,1832,1832,Flute,Piano,,ChamberSonata,,LastMovement,,Germany,G major,
100 Russian Songs 11 Through the Meadows,Rimsky-Korsakov,Op24,1875,1876,Orchestra,,,SongSecular,,,,Russia,F major,C major
100 Russian Songs 12 Over Valley Mists,Rimsky-Korsakov,Op24,1875,1876,Orchestra,,,SongSecular,,,,Russia,D minor,
100 Russian Songs 14 Johnny and his Sofa,Rimsky-Korsakov,Op24,1875,1876,Organ,,,SongSecular,,,,Russia,Bb major,F major
100 Russian Songs 16 Hey You White Snow,Rimsky-Korsakov,Op24,1875,1876,Orchestra,,,SongSecular,,,,Russia,A minor,
100 Russian Songs 21 By the Gate a Tree Swings,Rimsky-Korsakov,Op24,1875,1876,Orchestra,,,SongSecular,,,,Russia,Bb major,Eb major
Capriccio Espagnol 1 Albodara Vivo e strepitoso,Rimsky-Korsakov,Op34,1887,,Orchestra,,,Prelude,,,,Russia,A major,
Concerto for Trombone and Military Band 1 Allegro Vivace,Rimsky-Korsakov,,1877,,Trombone,Piano,,Concerto,,,,Russia,Bb major,
Concerto for Trombone and Military Band 2 Andante Cantible and Moderato,Rimsky-Korsakov,,1877,,,,,,,,,Russia,F# major,Bb major
Flight of the Bumblebee,Rimsky-Korsakov,,1832,1832,Orchestra,,,Prelude,,,,Russia,G minor,
"Le Coq d'Or The Golden Rooster, suite symphonique 4 tableaux musicaux tires de l'opera 4 musical pictures from the opera 1 Allegro",Rimsky-Korsakov,,1860,1870,Orchestra,,,Opera,,,,Russia,C# minor,C# major
"Le Coq d'Or The Golden Rooster, suite symphonique 4 tableaux musicaux tires de l'opera 4 musical pictures from the opera 3 Andantino",Rimsky-Korsakov,,1860,1870,Orchestra,,,Opera,,,,Russia,G major,A major
"Le Coq d'Or The Golden Rooster, suite symphonique 4 tableaux musicaux tires de l'opera 4 musical pictures from the opera 4 Allegro Assai",Rimsky-Korsakov,,1860,1870,Orchestra,,,Opera,,,,Russia,F major,A# major
May Night-Levko's Aria from Act I,Rimsky-Korsakov,,1880,,Voice,Orchestra,,,,,,Russia,A major,
Russian Easter Festival Overture,Rimsky-Korsakov,,1832,1832,Orchestra,,,Overture,,,,Russia,F major,Db major
Sadko Song of the Indian Guest,Rimsky-Korsakov,,1860,1870,,,,SongSecular,,,,Russia,A minor,G major
Sadko Song of the Viking Guest,Rimsky-Korsakov,,1860,1870,Orchestra,,,SongSecular,,,,Russia,D minor,
"Scheherazade, Symphonic Suite after The 1001 Nights 1 The Sea and Sindbad's Ship",Rimsky-Korsakov,Op35,1888,,Orchestra,,,,OrchestralSuite,,,Russia,A minor,A major
"Scheherazade, Symphonic Suite after The 1001 Nights 2 The Story of the Calender Prince",Rimsky-Korsakov,Op35,1888,,Orchestra,,,,OrchestralSuite,,,Russia,E minor,
"Scheherazade, Symphonic Suite after The 1001 Nights 3 The Young Prince and the Young Princess",Rimsky-Korsakov,Op35,1888,,Orchestra,,,,OrchestralSuite,,,Russia,G major,
"Scheherazade, Symphonic Suite after The 1001 Nights 4 Festival at Baghdad-The Sea-The Ship goes to pieces against a rock surmounted by a Bronze Warrior",Rimsky-Korsakov,Op35,1888,,Orchestra,,,,OrchestralSuite,,,Russia,B minor,A major
"Scheherazade, Symphonic Suite after The 1001 Nights Theme",Rimsky-Korsakov,Op35,1888,,Orchestra,,,,OrchestralSuite,,,Russia,G major,
Snow Maiden Dance of the Tumblers,Rimsky-Korsakov,,1860,1870,Orchestra,,,Prelude,,,,Russia,G major,C major
Snow Maiden II Chorus from Ouverture,Rimsky-Korsakov,,1860,1870,Flute,,,Prelude,,,,Russia,G major,
"Song of India, Theme from Sadko",Rimsky-Korsakov,,1832,1832,Piano,,,OtherSolo,,,,Russia,G major,
Variations on a theme by Glinka for oboe and wind orchestra in G-,Rimsky-Korsakov,,1876,,Oboe,Orchestra,,Concerto,,,,Russia,G minor,
Improvviso,Rinaldi,Op108No2,1860,1880,Piano,,,OtherSolo,,,,Italy,A minor,
Home Sweet Home,Rive-King,,1874,1894,Piano,,,OtherSolo,,,,America,F major,
La Cumparsita-Tango,Rodriges,,1910,1930,Organ,Violin,Piano,Prelude,,,,Uruguay,A minor,
Rondo in Bb,Rodriguez,,1779,1799,Piano,,,OtherSolo,,,,,Bb major,
Sonata in F for Harpsichord,Rodriguez,,1705,1725,Harpsichord,,,SoloSonata,,,,Spain,F major,
Sonata in C 1 Allegro,Roman,BeRI215,1714,1734,Harpsichord,,,SoloSonata,,FirstMovement,,Sweden,C major,
Sonata in C 2 Larghetto,Roman,BeRI215,1714,1734,Harpsichord,,,SoloSonata,,SlowMovement,,Sweden,C minor,
Sonata in C 3 Allegro,Roman,BeRI215,1714,1734,Harpsichord,,,SoloSonata,,LastMovement,,Sweden,C major,
Sonata in D 1 Allegro,Roman,BeRI226No2,1714,1734,Harpsichord,,,SoloSonata,,FirstMovement,,Sweden,D major,
Sonata in D 2 Lento non troppo,Roman,BeRI226No2,1714,1734,Harpsichord,,,SoloSonata,,SlowMovement,,Sweden,A minor,A major
Sonata in D 3 Allegro moderato,Roman,BeRI226No2,1714,1734,Harpsichord,,,SoloSonata,,FastMovement,,Sweden,D major,
Sonata in D 4 5 Presto,Roman,BeRI226No2,1714,1734,Harpsichord,,,SoloSonata,,LastMovement,,Sweden,D major,
Sonata in D 4 Non troppo allegro,Roman,BeRI226No2,1714,1734,Harpsichord,,,SoloSonata,,FastMovement,,Sweden,D major,
Sonata in Eb 1 Allegro,Roman,BeRI225No1,1714,1734,Harpsichord,,,SoloSonata,,FirstMovement,,Sweden,Eb major,
Sonata in Eb 2 Adagio,Roman,BeRI225No1,1714,1734,Harpsichord,,,SoloSonata,,SlowMovement,,Sweden,G minor,
Sonata in Eb 3 Non tanto,Roman,BeRI225No1,1714,1734,Harpsichord,,,SoloSonata,,SlowMovement,,Sweden,Eb major,Bb major
Sonata in Eb 4 Vivace,Roman,BeRI225No1,1714,1734,Harpsichord,,,SoloSonata,,LastMovement,,Sweden,Eb major,
Sonata in F- 1 Allegro Moderato,Roman,BeRI235No11,1714,1734,Harpsichord,,,SoloSonata,,FirstMovement,,Sweden,F minor,
Sonata in F- 2 Allegretto,Roman,BeRI235No11,1714,1734,Harpsichord,,,SoloSonata,,FastMovement,,Sweden,F minor,
Sonata in F- 3 Lento Poco,Roman,BeRI235No11,1714,1734,Harpsichord,,,SoloSonata,,SlowMovement,,Sweden,Ab major,
Sonata in F- 4 Allegro,Roman,BeRI235No11,1714,1734,Harpsichord,,,SoloSonata,,LastMovement,,Sweden,F minor,
Sonata for violoncello and piano in G 1 Allegro,Romberg,Op43No3,1787,1807,Violin,Piano,,ChamberSonata,,FirstMovement,,Germany,G major,
Sonata for violoncello and piano in G 2 Romanze,Romberg,Op43No3,1787,1807,Violin,Piano,,ChamberSonata,,SlowMovement,,Germany,C major,
Sonata for violoncello and piano in G 3 Finale Allegretto,Romberg,Op43No3,1787,1807,Violin,Piano,,ChamberSonata,,LastMovement,,Germany,G major,
"Gavotte, Sarabande, and Gigue in G",Roncalli,,1692,,Guitar,,,OtherSolo,,,,Italy,G major,
Passacaglia in G-,Roncalli,,1692,,Guitar,,,OtherSolo,,,,Italy,G minor,
"Ueber den Wellen, Walzer",Rosas,,1888,1908,Piano,,,Trio,,,,Mexico,G major,
Waltz Sobre las olas,Rosas,,1888,1908,Harpsichord,Guitar,Violin,OtherSolo,,,,Mexico,G major,
"Argene e Melania Canta Profana per soli, coro e orchestra 3 Reitativo Argene Melanie",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,G major,B major
"Argene e Melania Canta Profana per soli, coro e orchestra 4 Aria Argene",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,E major,
"Argene e Melania Canta Profana per soli, coro e orchestra 5 Recitativo e Duetto Argene, Melania",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,E major,A major
"Argene e Melania Canta Profana per soli, coro e orchestra 6 Scena II Aria Fileno",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,Eb major,
"Argene e Melania Canta Profana per soli, coro e orchestra 7 Recitativo e coro Argene Alceo, coro-",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,Eb major,
"Argene e Melania Canta Profana per soli, coro e orchestra 8 Scena III Recitativo Alceo Argene Melanie",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,C major,
"Argene e Melania Canta Profana per soli, coro e orchestra 9 Aria Fileno, coro-",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,C major,
"Argene e Melania Canta Profana per soli, coro e orchestra Overture",Rossini,,1812,1832,Orchestra,Voice,,Overture,,,,Italy,G major,
"Argene e Melania Canta Profana per soli, coro e orchestra Scene 1",Rossini,,1812,1832,Orchestra,Voice,,Cantata,,,,Italy,G major,
Armida Damour al dolce impero,Rossini,,1817,,Orchestra,Voice,,Opera,,,,Italy,F major,
Duet for 2 Cats for 2 sopranos and piano,Rossini,,1824,,Voice,Piano,,Duet,,,,Italy,D minor,
Echantillon du Chant de Noïl _ l'Italienne,Rossini,,1857,1868,Organ,,,OtherSolo,,,,Italy,Eb major,
Giovanna dArco Cantata a Voce Sola,Rossini,,1844,,Piano,,,OtherSolo,,,,Italy,E major,
I Gondolieri,Rossini,,1857,1868,Piano,Voice,,Opera,,,,Italy,E major,
I.Mustaf_: Gi_ d'insolito ardore,Rossini,,1812,1832,Orchestra,Voice,,Opera,,,,Italy,Bb major,
Il barbiere di Siviglia Aria Bartolo,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,Eb major,
Il barbiere di Siviglia Aria di Berta,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,C# major,A major
Il barbiere di Siviglia Aria Don Basilio La Calunnia e'un venticello,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,D major,
Il barbiere di Siviglia Aria Rosina Una Voce Poco Fa,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,A major,E major
Il barbiere di Siviglia Atto 2 Scena 4,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,Eb major,
Il barbiere di Siviglia Duetto Figaro Conte,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,Bb major,G major
Il barbiere di Siviglia Duetto Figaro Rosina,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,G major,
Il barbiere di Siviglia Figaro,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,C major,
Il barbiere di Siviglia I Stretta del Finale Primo Ma Signor Tutti,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,C major,
Il barbiere di Siviglia Largo al Factotum Aria,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,C major,
Il barbiere di Siviglia Overture Elisabeth,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,E major,
Il barbiere di Siviglia Temporale,Rossini,,1816,,Orchestra,Voice,,Opera,,,,Italy,Eb major,
Il Signor Bruschino Overture,Rossini,,1809,,Orchestra,,,Opera,,,,Italy,E minor,D major
Il Turco in Italia Overture,Rossini,,1814,,Orchestra,,,Overture,,,,Italy,D major,
Il Viaggio a Reims Overture,Rossini,,1807,,Orchestra,,,Overture,,,,Italy,D major,
L'Italiana in Algeri Act 2 Quintet Ti Presento di Mia Man,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,C major,
L'Italiana in Algeri Ah Come Un Cor Di Giubilo,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,C major,
L'Italiana in Algeri Cruda Sorte,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,C major,F major
L'Italiana in Algeri Duetto Ai Capricci,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,G major,
L'Italiana in Algeri Finale to Act I,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,F major,
L'Italiana in Algeri Ho un Gran Peso Sulla Testa,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,G major,
L'Italiana in Algeri Introduzione to Act I,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,G major,
L'Italiana in Algeri Languir Per Una Bella,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,Eb major,
L'Italiana in Algeri Mustafa Se Inclinassi a Prender Moglie,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,G major,
L'Italiana in Algeri Overture,Rossini,,1808,,Orchestra,,,Opera,,,,Italy,C major,
L'Italiana in Algeri Per Lui Che Adoro,Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,F major,
"L'Italiana in Algeri Scene XIII, XIV, XV, Ultima",Rossini,,1808,,Orchestra,Voice,,Opera,,,,Italy,F major,D major
La Cambiale di Matrimonio Cavatina Buffa e Stretta Introduction,Rossini,,1807,,Orchestra,Voice,,Opera,,,,Italy,C major,
La Cambiale di Matrimonio Introduzione Duettino,Rossini,,1807,,Orchestra,Voice,,Opera,,,,Italy,C major,
La Cambiale di Matrimonio Overture,Rossini,,1807,,Orchestra,,,Overture,,,,Italy,Eb major,
La Cenerentola Act I Cavatina Don Magnifico,Rossini,,1814,,Orchestra,Voice,,Opera,,,,Italy,C major,
La Cenerentola Act I Coro e Cavatina Dandini,Rossini,,1814,,Orchestra,Voice,,Opera,,,,Italy,F major,
La Cenerentola Introduzione,Rossini,,1814,,Orchestra,Voice,,Opera,,,,Italy,G major,
La Cenerentola Non Piu Mesta,Rossini,,1814,,Orchestra,Voice,,Opera,,,,Italy,E major,
La Cenerentola Overture,Rossini,,1814,,Orchestra,,,Opera,,,,Italy,Eb major,
La Gazza Ladra Overture,Rossini,,1815,,Orchestra,,,Overture,,,,Italy,G major,E major
La Passeggiata Quarettino,Rossini,,1831,,Piano,,,OtherSolo,,,,Italy,C major,
Mose III Scena Prima Preghiera Dal Tuo Stellato Soglio,Rossini,,1819,,Orchestra,,,Opera,,,,Italy,G minor,G major
Neapolitan Tarantella,Rossini,,1812,1832,Piano,,,OtherSolo,,,,Italy,A minor,
Otello I Cavatina Ah si per voi gia sento,Rossini,,1816,,Orchestra,Piano,,Opera,,,,Italy,D major,
Petite Messe Solemnelle Cum Sancto Spiritu,Rossini,,1812,1832,Piano,,,OtherSolo,,,,Italy,A minor,F major
Petite Messe Solemnelle Kyrie,Rossini,,1812,1832,Piano,,,OtherSolo,,,,Italy,A minor,C major
Semiramide 15 Duetto Semiramide Arsace Non ti lascio,Rossini,,1823,,Orchestra,Voice,,Opera,,,,Italy,C minor,E major
Semiramide I15 Stretta del finale I ah sconvolta,Rossini,,1823,,Orchestra,Voice,,Opera,,,,Italy,C major,
Semiramide II Arsace in si barbara sciagura,Rossini,,1823,,Orchestra,Voice,,Opera,,,,Italy,Eb major,
Semiramide Overture,Rossini,,1823,,Orchestra,,,Overture,,,,Italy,D major,
Soir_es Musicales 1 La Promessa,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,Ab major,
Soir_es Musicales 10 La Serenata,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,Bb major,
Soir_es Musicales 11 L'Orgia,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,Bb major,
Soir_es Musicales 12 Li Marinari,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,G minor,G major
Soir_es Musicales 2 La Regata Veneziana,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,C major,
Soir_es Musicales 3 LInvito,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,A minor,
Soir_es Musicales 4 La Gita in Gondola,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,G major,
Soir_es Musicales 5 Il Rimprovero,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,G major,
Soir_es Musicales 6 La Pastorella,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,C major,
Soir_es Musicales 7 La Partenza,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,G major,
Soir_es Musicales 8 La Pesca,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,Ab major,
Soir_es Musicales 9 La Danza,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,A minor,A major
Soir_es Musicales La Danza,Rossini,,1830,1835,Piano,,,OtherSolo,,,,Italy,A minor,A major
Stabat Mater 9,Rossini,,1812,1832,Voice,,,Opera,,,,Italy,G minor,
Stabat Mater Introduction,Rossini,,1812,1832,Orchestra,Voice,,Opera,,,,Italy,G minor,
String Sonata in C 1,Rossini,,1804,,Violin,Viola,Cello,ChamberSonata,,FirstMovement,,Italy,C major,
String Sonata in C 2,Rossini,,1804,,Violin,Viola,Cello,ChamberSonata,,SlowMovement,,Italy,C minor,
String Sonata in C 3,Rossini,,1804,,Violin,Viola,Cello,ChamberSonata,,LastMovement,,Italy,C major,
String Sonata in C 3 Presto,Rossini,No3,1804,,Violin,Viola,Bass,ChamberSonata,,,,Italy,C major,
Tancredi Overture,Rossini,,1813,,Orchestra,,,Overture,,,,Italy,D major,
The Thieving Magpie Overture,Rossini,,1812,1832,Orchestra,,,Overture,,,,Italy,E major,
William Tell Overture,Rossini,,1812,1832,Orchestra,,,Overture,,,,Italy,E minor,E major
"Album of 24 Portraits Kamennoi Ostrow, Portrait",Rubinstein,Op10No22,1849,1869,Piano,,,OtherSolo,,,,Russia,F# major,
Barcarolle,Rubinstein,,1849,1869,Piano,,,OtherSolo,,,,Russia,F minor,
Etude,Rubinstein,Op23No1,1849,1850,Piano,,,Etude,,,,Russia,F major,
Etude,Rubinstein,Op23No3,1849,1850,Piano,,,Etude,,,,Russia,D minor,D major
Etude Staccato Etude,Rubinstein,Op23No2,1849,1850,Piano,,,Etude,,,,Russia,C major,
Hallali,Rubinstein,,1849,1869,Piano,,,OtherSolo,,,,Russia,Ab major,
Melody in F,Rubinstein,,1849,1869,Trumpet,FrenchHorn,Trombone,MiscWindEnsemble,,,,Russia,F major,
Morning Serenade,Rubinstein,,1855,,Piano,,,OtherSolo,,,,Russia,Eb major,
String Quartet in F- 4 Finale Moderato tempo un poco animato tempo I animato,Rubinstein,Op106/2No10,1849,1869,,,,,,,,Russia,F minor,F major
String Quintet in F 1 Lento Allegro non troppo,Rubinstein,Op59,1849,1869,,,,,,,,Russia,D minor,F major
Trot de Cavalerie,Rubinstein,,1849,1869,Piano,,,OtherSolo,,,,Russia,Eb major,
Variations on the Air Yankee Doodle,Rubinstein,Op93Cah8,1849,1869,,,,,,,,Russia,E major,A major
Romance in Eb,Rubinstein,Op44No1,1849,1869,,,,,,,,Russia,,
Piano Concerto 1,Rubinstein,Op70No4,1849,1869,,,,,,,,Russia,,
Chaconne in G-,Saint-Luc,,1636,1656,Guitar,,,OtherSolo,,,,Belgium,G minor,
Gavotte in F,Saint-Luc,,1636,1656,Guitar,,,OtherSolo,,,,Belgium,F major,
Ritournelle en Rondeau,Saint-Luc,,1636,1656,Guitar,,,OtherSolo,,,,Belgium,G minor,
Suite in A for Lute,Saint-Luc,,1707,1708,Guitar,,,OtherSolo,,,,Belgium,A major,
"6 Etudes for Piano, Les Cloches de Las Palmas",Saint-Saens,Op111,1899,,Piano,,,CharacterPiece,,,,France,G# minor,
"6 Etudes for Piano, Prelude and Fugue",Saint-Saens,Op111,1899,,Piano,,,PreludeAndFugue,,,,France,Eb minor,
"6 Etudes for Piano, Toccata After the Finale of the 5th Piano Concerto",Saint-Saens,Op111,1899,,Piano,,,Toccata,,,,France,F major,
"6 Etudes for Piano, En Forme De Valse",Saint-Saens,Op52,1877,,Piano,,,Etude,,,,France,Db major,
"6 Etudes for Piano, Etude De Rythme ",Saint-Saens,Op52,1877,,Piano,,,Etude,,,,France,Ab major,
"6 Etudes for Piano, Pour L'Independance Des Doigts ",Saint-Saens,Op52,1877,,Piano,,,Etude,,,,France,A minor,
"6 Etudes for Piano, Prelude and Fugue in A",Saint-Saens,Op52,1877,,Piano,,,PreludeAndFugue,,,,France,A major,
"6 Etudes for Piano, Prelude and Fugue in F minor",Saint-Saens,Op52,1877,,Piano,,,PreludeAndFugue,,,,France,F minor,
"6 Etudes for Piano, Prelude",Saint-Saens,Op52,1877,,Piano,,,Prelude,,,,France,C major,
"6 Etudes for the Left Hand, Alla fuga",Saint-Saens,Op135,1912,,Piano,,,Fugue,,,,France,G major,
"6 Etudes for the Left Hand, Bourree",Saint-Saens,Op135,1912,,Piano,,,Etude,,Bouree,,France,G minor,G major
"6 Etudes for the Left Hand, Elegie",Saint-Saens,Op135,1912,,Piano,,,Etude,,Elegy,,France,Db major,
"6 Etudes for the Left Hand, Gigue",Saint-Saens,Op135,1912,,Piano,,,Etude,,Gigue,,France,G major,
"6 Etudes for the Left Hand, Moto perpetuo",Saint-Saens,Op135,1912,,Piano,,,Etude,,,,France,E major,
"6 Etudes for the Left Hand, Prelude",Saint-Saens,Op135,1912,,Piano,,,Prelude,,,,France,G major,
"Album, Carillon ",Saint-Saens,Op72,1884,,Piano,,,CharacterPiece,,,,France,E minor,
"Album, Chanson Napolitaine",Saint-Saens,Op72,1884,,Piano,,,CharacterPiece,,,,France,C minor,
"Album, Finale",Saint-Saens,Op72,1884,,Piano,,,CharacterPiece,,LastMovement,,France,E major,
"Album, Prelude",Saint-Saens,Op72,1884,,Piano,,,Prelude,,,,France,E major,
"Album, Toccata",Saint-Saens,Op72,1884,,Piano,,,Toccata,,,,France,F# minor,
"Album, Valse",Saint-Saens,Op72,1884,,Piano,,,SoloDanceOneMovement,,Waltz,,France,A major,
Allegro Appassionato,Saint-Saens,Op43,1875,,Cello,Orchestra,,SoloConcerto,,,,France,B minor,
Allegro Appassionato,Saint-Saens,Op70,1884,,Piano,Orchestra,,SoloConcerto,,,,France,C# minor,C# major
Danse Macabre,Saint-Saens,Op40,1875,,Orchestra,,,SymphonicPoem,,,,France,G minor,
Duettino,Saint-Saens,Op11,1862,,Piano,Piano,,Duet,,,,France,G major,
Guitares et mandolines,Saint-Saens,none,1890,,Voice,Piano,,SongSecular,,,,France,E minor,
Havanaise,Saint-Saens,Op83,1888,,Violin,Orchestra,,SoloConcerto,,DanceMovement,,France,E major,
Introduction and Rondo Capriccioso,Saint-Saens,Op28,1855,1875,Piano,,,OtherSolo,,,,France,A minor,
Introduction and Rondo Capriccioso,Saint-Saens,Op28,1870,,Violin,Orchestra,,SoloConcerto,,FirstMovement,,France,A minor,
L'attente,Saint-Saens,none,1856,,Voice,Orchestra,,SongSecular,,,,France,G minor,
Le Deluge Movement 1,Saint-Saens,Op45,1876,,OrchestaVocal,SATB,,Oratorio,,Prelude,,France,E minor,E major
Morceau de Concert,Saint-Saens,Op94,1896,,Horn,Orchestra,,SoloConcerto,,,,France,F minor,F major
"Oratorio de Noel, Tollite Hostias",Saint-Saens,Op12,1863,,SATB,Orchestra,,Oratorio,,,,France,G major,
Pas Redouble,Saint-Saens,Op86,1890,,Piano,Piano,,Duet,,March,,France,Bb major,
Piano Concerto Number 2 Movement 1,Saint-Saens,Op22,1868,,Piano,Orchestra,,SoloConcerto,,FirstMovement,,France,G minor,
Piano Concerto Number 2 Movement 3,Saint-Saens,Op22,1868,,Piano,Orchestra,,SoloConcerto,,LastMovement,,France,G minor,
Piano Concerto Number 4 Movement 1,Saint-Saens,Op44,1877,,Piano,Orchestra,,SoloConcerto,,,,France,C minor,Ab major
Piano Concerto Number 4 Movement 2,Saint-Saens,Op44,1877,,Piano,Orchestra,,SoloConcerto,,,,France,C minor,C major
